date,peak_load_MW
2020-05-27,31435.818992989167
2020-05-28,31522.52846015578
2020-05-29,32554.964257347103
2020-05-30,28516.6553133515
2020-05-31,28773.070469798662
2020-06-01,33668.07228915663
2020-06-02,34382.30574324325
2020-06-03,34486.743993371994
2020-06-04,34919.25581395349
2020-06-05,34874.053030303025
2020-06-06,30744.7425670776
2020-06-07,28118.412895226287
2020-06-08,32366.148409893995
2020-06-09,32368.45878136201
2020-06-10,33776.41144624903
2020-06-11,34209.69957081545
2020-06-12,35023.48632812499
2020-06-13,31554.945515507126
2020-06-14,29824.98369210698
2020-06-15,35099.51185495119
2020-06-16,35686.6015971606
2020-06-17,36172.120109190175
2020-06-18,35978.540772532186
2020-06-19,36324.55315145813
2020-06-20,35305.37944284342
2020-06-21,31612.70417422868
2020-06-22,36629.87630827784
2020-06-23,36830.88954056696
2020-06-24,37184.48589626934
2020-06-25,31844.344957587182
2020-06-26,30361.849261849264
2020-06-27,30468.77104377104
2020-06-28,31104.9225159526
2020-06-29,36355.34420289855
2020-06-30,36673.007103393844
2020-07-01,36334.94138863841
2020-07-02,35833.4807073955
2020-07-03,35797.09705372617
2020-07-04,31923.79002233805
2020-07-05,31223.135669362084
2020-07-06,35877.28898426323
2020-07-07,36327.77777777778
2020-07-08,37106.27687016337
2020-07-09,36694.95798319328
2020-07-10,36829.26829268293
